"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Dheart+rate+age",2015/06/27 01:56:58
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Short term reproducibility of indices of heart rate variability","Meaddens, M.; Boyko, T.; Vybiral, T.; Bryg, R.","William Beaumont Hospital, Royal Oak, MI, USA","Computers in Cardiology 1993, Proceedings.","20020806","1993","","","479","482","Spectral analysis of heart rate variability (HRV) has been tauted as a noninvasive means of assessing cardiac autonomic tone. Little agreement exists on optimal measures (i.e., peak vs. area absolute value vs. ratio, RR intervals vs. differences in successive RR intervals). The authors compared analyses of the first and last 128 beats of a 5 minute EKG acquisition in 81 healthy adults (age 21-65). It is concluded that: 1) most spectral indices of HRV are independent of resting heart rate; 2) the percent change between first and last segments showed no significant differences between any of the indices measured; 3) large short term changes in measures of HRV may limit their use for assessing changes in autonomic tone in individual subjects in response to physiologic stimuli such as tilt or standing","","0-8186-5470-8","","10.1109/CIC.1993.378399","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=378399","","Cardiac disease;Digital recording;Electrocardiography;Frequency;Heart beat;Heart rate;Heart rate variability;Human factors;Reproducibility of results;Spectral analysis","electrocardiography;medical signal processing;spectral analysis","21 to 65 y;5 min;5 minute EKG acquisition;RR intervals;cardiac autonomic tone assessment;healthy adults;heart rate variability indices;physiologic stimuli;resting heart rate;short term reproducibility;spectral indices;standing;successive RR intervals;tilt","","0","","13","","","5-8 Sep 1993","05 Sep 1993-08 Sep 1993","IEEE","IEEE Conference Publications"
"A study on relationship between heart rate variabilities and autonomic balance during head-up tilt","Keesam Jeong; Jeongwhan Lee; Kunsoo Shin; Juhn Ahn; Joongson Chon; Jong-Ho Lee","City University of Hong Kong","Engineering in Medicine and Biology Society, 1997. Proceedings of the 19th Annual International Conference of the IEEE","20020806","1997","1","","282","285","The power spectral analysis of heart rate variability was performed to evaluate effects of orthostatic stress with head-up tilt on autonomic nervous system for 25 healthy male subjects (age: 24±5 yr.) and a new method was proposed to assess the autonomic balance. The ECG and respiration signals were recorded at tilt angles of 0"", 45"", 90"" and 0"" successively for 10 minutes per each stage under the condition of frequency controlled respiration (0.25Hz). Heart rate gradually increased as the angle increased. Similarly, according to the increment of angle, normalized low frequency component (0.05-0.15Hz) gradually increased, whereas normalized high frequency component (0.20-0.30Hz) was reduced. From these results it is speculated that orthostatic stress, head-up tilt, results in the prevalence of sympathetic tone in autonomic balance with the increment of sympathetic tone and the decrement of parasympathetic tone, which seems to mean that autonomic nervous system plays a major role in compensating for disturbances of cardiovascular system due to it.","1094-687X","0-7803-4262-3","","10.1109/IEMBS.1997.754527","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=754527","","Cardiac disease;Educational institutions;Frequency;Hafnium;Heart rate;Heart rate variability;Human factors;Protocols;Spectral analysis;Stress","biocontrol;biomechanics;electrocardiography;medical signal processing;neurophysiology;spectral analysis","0.05 to 0.15 Hz;0.25 Hz;0.30 Hz;10 min;24 y;autonomic balance;autonomic nervous system;cardiovascular system disturbances compensation;frequency controlled respiration;head-up tilt;healthy male subjects;heart rate variabilities;orthostatic stress effects;power spectral analysis;tilt angle","","0","","14","","","Oct. 30 1997-Nov. 2 1997","30 Oct 1997-02 Nov 1997","IEEE","IEEE Conference Publications"
"Heart rate variability measurements during exercise test may improve the diagnosis of ischemic heart disease","Mateo, J.; Serrano, P.; Bailon, R.; Garcia, J.; Ferreira, A.; Del Rio, A.; Ferreira, I.J.; Laguna, P.","Commun. Technol. Group, Zaragoza Univ., Spain","Engineering in Medicine and Biology Society, 2001. Proceedings of the 23rd Annual International Conference of the IEEE","20021107","2001","1","","503","506 vol.1","In this work we have analyzed changes in the heart rate variability (HRV) during exercise test comparing them with the ST deviation criteria to improve the diagnostic value of the exercise test. Coronary angiography was considered as gold standard to establish the classification of patients in two groups (ischemic and non-ischemic). ST deviations and HRV indexes were automatically measured and used as independent factors in discriminant analysis to find those more useful to classify both groups. Several approaches were performed starting with different sets of variables. Results showed that by using only the ST indexes it is possible to correctly classify 76% of patients. The inclusion of HRV indexes improves the exactness up to 84%. The very high frequency (0.4 to 1 Hz) at the stress peak has shown to have diagnostic value. Adding the age and the maximum heart rate the exactness goes up to 87.4% (sens. 85.5%, spec. 89.1%), close to that obtained by exercise echocardiography or exercise nuclear imaging.","1094-687X","0-7803-7211-5","","10.1109/IEMBS.2001.1018978","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1018978","","Angiography;Cardiac disease;Echocardiography;Frequency;Gold;Heart rate;Heart rate variability;Nuclear imaging;Stress;Testing","biomechanics;diseases;electrocardiography;medical signal processing;statistical analysis","ST deviation criteria;ST indexes;age;coronary angiography;discriminant analysis;electrodiagnostics;exercise echocardiography;exercise nuclear imaging;exercise test;heart rate variability measurements;ischemic heart disease diagnosis improvement;maximum heart rate","","0","","","","","2001","","IEEE","IEEE Conference Publications"
"Frequency dependent response of cardio-vascular system to foot based vibration while in the seated position","Madhavan, G.; Villanueva, A.Jr.; McLeod, K.J.","Dept. of Orthopaedics, State Univ. of New York, Stony Brook, NY, USA","Engineering in Medicine and Biology, 2002. 24th Annual Conference and the Annual Fall Meeting of the Biomedical Engineering Society EMBS/BMES Conference, 2002. Proceedings of the Second Joint","20030106","2002","2","","1609","1610 vol.2","The objective of this study was to determine the frequency dependent response of heart rate variability (HRV) to mechanical vibration, applied at the feet with the subject in the seated position. Ten female volunteers in the age group of 22 to 70 were exposed to the vibration stimulus at each of 6 different frequencies (0, 15, 22, 44, 60, 88 Hz, 0.2g) for 20 minutes, with only one frequency per day being tested. Tests were carried out in a randomized manner for 6 weeks and blood pressure and continuous heart rate were recorded. Frequency analysis by FFT was used to evaluate HRV. Initial results suggest that both blood pressure and HRV can be affected by vibration at frequencies of 40 Hz and above.","1094-687X","0-7803-7612-9","","10.1109/IEMBS.2002.1106562","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1106562","","Biomedical engineering;Blood pressure;Cardiology;Cardiovascular system;Foot;Frequency dependence;Heart rate variability;Muscles;Testing;Vibrations","biocontrol;cardiovascular system;electrocardiography;fast Fourier transforms;haemodynamics;mechanoception;muscle;vibrations","15 Hz;20 min;22 Hz;22 to 70 yr;44 Hz;6 week;60 Hz;88 Hz;FFT;HRV;blood pressure;cardio-vascular system;continuous heart rate;female volunteers;foot based vibration;frequency analysis;frequency dependent response;heart rate variability;mechanical vibration;randomized manner;seated position;vibration stimulus","","0","","","","","2002","","IEEE","IEEE Conference Publications"
"Simulations on The Population and Disease in Japan","Koide, K.; Matsuura, H.; Noda, N.; Nakano, M.","Nat. Center for Geriatrics & Gerontology, Aichi","Innovative Computing, Information and Control, 2006. ICICIC '06. First International Conference on","20061016","2006","3","","550","552","Future Japanese population pyramid and death toll are similarity. According to the national census performed in last October, Japan entered population decline society. A trend of population of man and woman is shown until 2060. A calculation results are shown every five years. The population is classified in an age-grade every 5 years old. The population of 5 years old rank is divided into man and woman, and resulting figures are shown. Aging rate is obtained based on the constitution of population. We can predict a death toll of the modern Japanese three major causes of deaths (malignant neoplasms, heart diseases, cerebro-vascular diseases) by using the death rate for three diseases for every age-grade","","0-7695-2616-0","","10.1109/ICICIC.2006.520","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1692235","","Aging;Cancer;Cardiac disease;Cardiovascular diseases;Chapters;Geriatrics;Gerontology;Neoplasms;Pediatrics;Shape","brain;cardiology;demography;diseases;health care;neurophysiology","Japanese population pyramid;aging rate;cerebro-vascular diseases;death rate;death toll;disease;heart diseases;malignant neoplasms;population decline","","2","","","","","Aug. 30 2006-Sept. 1 2006","","IEEE","IEEE Conference Publications"
"Heart rate asymmetry in aortic valve stenosis patients","Petelczyc, M.; Lipinska, O.; Orlowska-Baranowska, E.; Baranowski, R.; Jacek Zebrowski, J.","Fac. of Phys., Warsaw Univ. of Technol., Warsaw, Poland","Computing in Cardiology Conference (CinC), 2013","20140116","2013","","","987","990","Heart rate asymmetry is one of the measure of the autonomic nervous system activity. Here we use the Phase Rectified Signal Averaging method for heart rate asymmetry calculations and focus on Deceleration Capacity (DC) obtained for aortic valve stenosis patients just before surgical replacement of the aortic valve. In the study we used 6-h nighttime data from 107 patients aged 60-71 y. We compare the results between male and female groups obtaining a larger diversity in males. Unfortunately, the decrease of the DC parameter, which is used as mortality risk marker in other several regulatory dysfunctions is not applicable for aortic stenosis in risk stratification. We did not observe distinction of patients who died earlier than one year after surgery. In spite of this, we introduce the modified nDC and Acceleration Capacity (nAC) parameters for a better assessment of the ability to lengthen and shorten RR intervals.","2325-8861","978-1-4799-0884-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6713545","","Abstracts;Diabetes;Heart;Surgery","electrocardiography;medical signal processing;neurophysiology","RR intervals;acceleration capacity;age 60 yr to 71 yr;aortic valve stenosis patients;autonomic nervous system activity;deceleration capacity;heart rate asymmetry;heart rate asymmetry calculations;mortality risk marker;nDC;phase rectified signal averaging method;regulatory dysfunctions;risk stratification;surgical replacement;time 6 h","","0","","6","","","22-25 Sept. 2013","","IEEE","IEEE Conference Publications"
"Mixed effects model on driver steering behavior under emergency based on driving prones factor","Chen Xuemei; Wei Zhonghua; Gao Li","","Control and Decision Conference (CCDC), 2011 Chinese","20110801","2011","","","4291","4294","It is very important to study driver behavior to ensure traffic safety. Electrocardiograph, Freecod data collecting system and dynamics GPS are utilized to study the eight drivers' behavior under emergency in the Transportation Communication Trial Field. Firstly, driving pones factor was given. Secondly, driving time, personality, driving experience and age were quantified, finally the improved mixing effects model between maximum steering velocity and heart rate change rate were established and the model was testified. The results show that the model is valid.","","978-1-4244-8737-0","","10.1109/CCDC.2011.5968981","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5968981","Driver Behavior;Emergency;Heart Rate;Mixing Effects Model;Steering Velocity;Traffic Safety","Driver circuits;Force;Heart rate;Moon;Physiology;Safety;Transportation","Global Positioning System;behavioural sciences computing;electrocardiography;road safety;road traffic;steering systems;traffic information systems","Freecod data collecting system;driver steering behavior;driving prone factor;dynamic GPS;electrocardiograph;heart rate change rate;mixed effect model;steering velocity;traffic safety;transportation communication trial field","","0","","13","","","23-25 May 2011","","IEEE","IEEE Conference Publications"
"Heart Rate Analysis and Telemedicine: New concepts & Maths","Khoor, S.; Kecskes, I.; Kovacs, I.; Verner, D.; Remete, A.; Jankovich, P.; Bartus, R.; Stanko, N.; Schramm, N.; Domijan, M.; Domijan, E.","Szent Istvan Hosp., Budapest","Intelligent Systems and Informatics, 2007. SISY 2007. 5th International Symposium on","20071008","2007","","","39","43","Our paper deals with some new aspects of ambulatory (Holter) ECG monitoring extending its indications and using for risk management purpose. Remote sensing consists of the transmittal of patient information, such as ECG, X-rays, or patient records, from a remote site to a collaborator in a distant site. Our earlier developed internet based ECG system was unique for on/off-line analysis of long-term ECG registrations. After the 5-year experience in a smaller region of Budapest, Hungary involving a municipal hospital and the surrounding outpatient cardiology departments and general practitioners, we decided to integrate into our new ECG equipment, the CardioClient the results. In the first clinical study of the four was a wavelet, non-linear heart rate analysis in sudden cardiac death patients using the Internet and the GPRS mobile communication. After the wavelet transformation by the Haar wavelet and the Daubechies 10-tap wavelet, the phase-space of the wavelet-coefficient standard deviation and the scale parameters showed an excellent separation in the scale-range of 3-6 between the two groups: in that region, the average scaling exponents was 0.14plusmn0.04 for Group-A, and 1.22plusmn0.27 for Group-B (p<0.001). In the next study, we used the Internet database of long-term ambulatory, mobile, GPRS electrocardiograms for the for risk stratification of patients through the cardiovascular continuum. From our ambulatory mobile GPRS ECG database the following a priori groups were defined after a 24 months follow-up: G1: N=227 patients (without manifest cardiovascular disease, clusterized ""boxes"" based on the age, sex, cholesterol level, diabetes, hypertension ); G2: N=89 patients (postinfarction group); G3: N=66 (patients with chronic heart failure) with (+) or without (-): all-cause death (acD), myocardial infarction (MI), malignant ventricular arrhythmia (MVA), sudden cardiac death (SCD). The actual vs. predicted values were analyzed with chi-square test. The best- significance levels (p<0.001) were found with method in G1/MI+, G2/SCD+, G3/acD+, G3/SCD+ groups. In the third study a wavelet analysis of late potentials based on long-term, high-resolution, mobile, GPRS ECG data was performed. These pathological changes were also detected by the Haar and Daubechies_4 wavelets, but in a narrower space (110-128 ms and 180-240) and with lesser significance (p<0.01). Late potentials were found in Group-A (N=21) in 18 cases with Morlet, 16 with Haar, 19 with Daub-4 analysis, and in 15 cases using all the 3 waves; for Group-B the data were 5, 9, 8, 5, respectively. In the fourth clinical study the prognostic value of the nonlinear dynamicity measurement of atrial fibrillation waves detected by GPRS Internet long-term ECG monitoring were analyzed. The multivariate discriminant model selects the best parameters stepwise, the entry or removal based on the minimalization of the Wilks' lambda. Three variables remained finally: x1 = CI mean-value at log r=-1.0 (m9-14), x2 = CI mean-value at log r=-0.5 (m12-17), and x3 = CD_cg. The Wilks' lambda was 0.011, chi-square 299.68, significancy: p<0.001.","","978-1-4244-1442-0","978-1-4244-1443-7","10.1109/SISY.2007.4342620","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4342620","","Cardiology;Databases;Electrocardiography;Ground penetrating radar;Heart rate;Internet;Patient monitoring;Remote monitoring;Telemedicine;Wavelet analysis","Haar transforms;Internet;biomedical communication;diseases;electrocardiography;medical computing;medical signal processing;mobile computing;packet radio networks;patient monitoring;wavelet transforms","CardioClient;Daubechies 10-tap wavelet;Daubechies_4 wavelets;ECG data;GPRS electrocardiogram;GPRS mobile communication;Haar wavelet;Holter ECG monitoring;Internet database;X-ray data;ambulatory ECG monitoring;atrial fibrillation waves;cardiovascular disease;chi-square test;cholesterol level;chronic heart failure;diabetes;hypertension;malignant ventricular arrhythmia;municipal hospital;myocardial infarction;nonlinear dynamicity measurement;outpatient cardiology department;patient information transmittal;patient record;patient risk stratification;sudden cardiac death patients;telemedicine;wavelet nonlinear heart rate analysis;wavelet transformation;wavelet-coefficient standard deviation","","1","","17","","","24-25 Aug. 2007","","IEEE","IEEE Conference Publications"
"Fuzzy Evaluation of Heart Rate Signals for Mental Stress Assessment","Kumar, M.; Weippert, M.; Vilbrandt, R.; Kreuzfeld, S.; Stoll, R.","Center for Life Sci. Autom., Rostock, Germany","Fuzzy Systems, IEEE Transactions on","20071008","2007","15","5","791","808","Mental stress is accompanied by dynamic changes in autonomic nervous system (ANS) activity. Heart rate variability (HRV) analysis is a popular tool for assessing the activities of autonomic nervous system. This paper presents a novel method of HRV analysis for mental stress assessment using fuzzy clustering and robust identification techniques. The approach consists of 1) online monitoring of heart rate signals, 2) signal processing (e.g., using the continuous wavelet transform to extract the local features of HRV in time-frequency domain), 3) exploiting fuzzy clustering and fuzzy identification techniques to render robustness in HRV analysis against uncertainties due to individual variations, and 4) monitoring the functioning of autonomic nervous system under different stress conditions. Our experiments involved 38 physically fit subjects (26 male, 12 female, aged 18-29 years) in air traffic control task simulations. The subjective rating scores of mental workload were assessed using NASA task load index. Fuzzy clustering methods have been used to model the experimental data. Further, a robust fuzzy identification technique has been used to handle the uncertainties due to individual variations for the assessment of mental stress.","1063-6706","","","10.1109/TFUZZ.2006.889825","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4343114","Heart rate variability (HRV);NASA-task load index;continuous wavelet transform;fuzzy clustering;fuzzy identification;robustness","Autonomic nervous system;Condition monitoring;Continuous wavelet transforms;Fuzzy systems;Heart rate;Heart rate measurement;Heart rate variability;Human factors;Robustness;Signal processing","cardiology;fuzzy set theory;medical signal processing;neurophysiology;pattern clustering;wavelet transforms","autonomic nervous system;continuous wavelet transform;fuzzy clustering;heart rate signal processing;heart rate variability analysis;mental stress assessment;robust fuzzy identification technique","","30","","65","","","Oct. 2007","","IEEE","IEEE Journals & Magazines"
"GreenDroid: An architecture for the Dark Silicon Age","Goulding-Hotta, N.; Sampson, J.; Qiaoshi Zheng; Bhatt, V.; Auricchio, J.; Swanson, S.; Taylor, M.B.","Dept. of Comput. Sci. & Eng., Univ. of California, San Diego, La Jolla, CA, USA","Design Automation Conference (ASP-DAC), 2012 17th Asia and South Pacific","20120309","2012","","","100","105","The Dark Silicon Age kicked off with the transition to multicore and will be characterized by a wild chase for seemingly ever-more insane architectural designs. At the heart of this transformation is the Utilization Wall, which states that, with each new process generation, the percentage of transistors that a chip can switch at full frequency is dropping exponentially due to power constraints. This has led to increasingly larger and larger fractions of a chip's silicon area that must remain passive, or dark. Since Dark Silicon is an exponentially-worsening phenomenon, getting worse at the same rate that Moore's Law is ostensibly making process technology better, we need to seek out fundamentally new approaches to designing processors for the Dark Silicon Age. Simply tweaking existing designs is not enough. Our research attacks the Dark Silicon problem directly through a set of energy-saving accelerators, called Conservation Cores, or c-cores. C-cores are a post-multicore approach that constructively uses dark silicon to reduce the energy consumption of an application by 10× or more. To examine the utility of c-cores, we are developing GreenDroid, a multicore chip that targets the Android mobile software stack. Our mobile application processor prototype targets a 32-nm process and is comprised of hundreds of automatically generated, specialized, patchable c-cores. These cores target specific Android hotspots, including the kernel. Our preliminary results suggest that we can attain up to 11× improvement in energy efficiency using a modest amount of silicon.","2153-6961","978-1-4673-0770-3","","10.1109/ASPDAC.2012.6164926","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6164926","","Hardware;Mobile communication;Multicore processing;Program processors;Silicon;Transistors","multiprocessing systems","Android hotspots;Android mobile software stack;GreenDroid;Moore law;chip silicon area;dark silicon age;energy consumption;energy efficiency;energy-saving accelerator;insane architectural design;mobile application processor prototype;multicore chip;patchable c-cores;post-multicore approach;utilization wall","","3","","7","","","Jan. 30 2012-Feb. 2 2012","","IEEE","IEEE Conference Publications"
"Effects of selective parasympathetic blockade with atropine on power spectral analysis of heart rate variability during subarachnoid block","Critchley, L.A.H.; Critchley, J.A.J.H.; Tam, Y.H.","Dept. of Anaesthesia & Intensive Care, Chinese Univ. of Hong Kong, Shatin, Hong Kong","Engineering in Medicine and Biology Society, 1998. Proceedings of the 20th Annual International Conference of the IEEE","20020806","1998","","","357","359 vol.1","Power spectral analysis (PSA) of heart rate variability (HRV) is being used to assess autonomic function. We have examined the effect on HRV-PSA of subarachnoid block (SAB) and acute selective block of the vagus (parasympathetic) by intravenous atropine. Six patients, aged 64-83 years, received SAB. Atropine (0.6 mg) was given after 30 minutes. Using the electrocardiogram signal, PSA was performed on 512 R-R intervals using an autoregressive model (500 points), which was displayed on-line. HRV data was collected at baseline, during SAB and after atropine. Spectral densities were calculated for two frequency bands, low (0.04-0.15 Hz) and high (0.15-0.40 Hz), and comparisons made using paired t-tests. Heart rate decreased by 13 (5-20) b.p.m. following SAB and increased by 16 (10-24) b.p.m. After atropine. Low band frequencies increased by 236(128)% following SAB and then decreased to 39(48)% after atropine. Similarly, high band frequencies increased by 549(322)% and then decreased to 14(13)%. (all P<0.05). Following SAB, spectral activity increased (high band>low band). These increases appeared vagal as they were greatly reduced by atropine","1094-687X","0-7803-5164-9","","10.1109/IEMBS.1998.745916","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=745916","","Biomedical monitoring;Blood pressure;Frequency;Heart rate;Heart rate variability;Hospitals;Parasympathetic nervous system;Partial response channels;Spectral analysis;Sympathetic nervous system","autoregressive processes;cardiovascular system;electrocardiography;medical signal processing;neurophysiology;spectral analysis;time series","0.04 to 0.15 Hz;0.15 to 0.4 Hz;R-R intervals;acute selective block;anaesthesia;autonomic function;autoregressive model;electrocardiogram signal;heart rate variability;intravenous atropine;power spectral analysis;selective parasympathetic blockade;subarachnoid block","","0","","6","","","29 Oct-1 Nov 1998","29 Oct 1998-01 Nov 1998","IEEE","IEEE Conference Publications"
"ECG signals based mental stress assessment using wavelet transform","Karthikeyan, P.; Murugappan, M.; Yaacob, S.","Sch. of Mechatron. Eng., Univ. Malaysia Perlis (UniMAP), Arau, Malaysia","Control System, Computing and Engineering (ICCSCE), 2011 IEEE International Conference on","20120426","2011","","","258","262","This paper describes the mental stress assessment using Electrocardiography (ECG) signal. Stress reflects the changes in heart rates under stressful situation. In this work, Heart Rate Variability (HRV) from ECG signal is used to study the activity of Autonomic Nervous System (ANS) under stress states. The Stroop colour word test is used to induce stress and ECG signal was simultaneously acquired from the 10 female subjects in the age range of (20 - 25) years in non invasive manner. An acquired ECG signals are preprocessed using 4<sup>th</sup> order elliptic band pass filter. The High Frequency (HF) and Low Frequency (LF) bands of ECG signals were considered to extract the stress related features through Discrete Wavelet Transform (DWT) using “db4” wavelet function. The extracted features are mapped into two states such as stress and relax using a K Nearest Neighbour (KNN). The experimental results show the maximum average classification accuracy of 96.41% on classifying the stress and relax states from the ECG signals.","","978-1-4577-1640-9","","10.1109/ICCSCE.2011.6190533","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6190533","K Nearest Neighbor;discrete wavelet transform;stress;stroop colour word test","Accuracy;Discrete wavelet transforms;Electrocardiography;Feature extraction;Hafnium;Image color analysis;Stress","discrete wavelet transforms;electrocardiography;elliptic filters;patient diagnosis","ECG signal;K nearest neighbour;autonomic nervous system;db4 wavelet function;discrete wavelet transform;electrocardiography signal;elliptic band pass filter;heart rate variability;high frequency band;low frequency band;mental stress assessment;stroop colour word test","","2","","18","","","25-27 Nov. 2011","","IEEE","IEEE Conference Publications"
"Study on the variability of pulse wave and ECG of graduate students with different body positions","Li Yan; Sainan Yin; Shuhong Wang; Jia Liu; Lisheng Xu; Yong Zhao","Coll. of Inf. Technol., Heilongjiang Bayi Agric. Univ., Daqing, China","Information and Automation (ICIA), 2012 International Conference on","20120723","2012","","","658","662","Aims: To study the variations of pulse and ECG with different body positions. Methods: A device with a pressure-adjustable pulse sensor and an ECG sensor is used to acquire radial pulse wave and ECG signals, and a cuff sphygmomanometer is used to measure the blood pressure (BP). The signals are recorded continuously at different positions (supine, a series of transitional positions from supine to standing and standing position) for 20 subjects with age 24 ± 3(11 males, 9 females). Results: It is observed that the pulse contours of 20 subjects have two kinds of waveforms: one group has a tidal wave, while the other does not. In Group 1, the time that the valley of tidal wave occurred has no significant difference from supine to standing. The change of left ventricular ejection time (LVET) in Group 2 is larger than that in Group 1. During the procedure from supine to standing, the diastole period of the 95% subjects in two groups gets shorter, and all subjects' heart rate (HR) gradually accelerated. Meanwhile, pulse wave transit time (PWTT) decreases from supine to standing. In supine position, 100% subjects' diastole blood pressure (DBP) significantly decreased about 11.2 mmHg and 90% subjects' systolic blood pressure (SBP) reduced about 7.7 mmHg, which is consistent with the references. Conclusions: The experimental results demonstrate the diastole gets longer in supine position. The longer diastole helps the heart to get more rest time. Furthermore, blood pressure (BP) significantly decreased in supine which benefits cardiovascular system. Therefore, the supine position is a relatively ideal position in daily examining and clinical monitoring.","","978-1-4673-2238-6","978-1-4673-2236-2","10.1109/ICInfA.2012.6246759","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6246759","Blood pressure;Body position;Radial pulse wave;Variability","Biomedical monitoring;Blood pressure;Educational institutions;Electrocardiography;Heart rate;Morphology;Pressure measurement","blood pressure measurement;electrocardiography;medical signal processing;sensors","DBP;ECG sensor;HR;LVET;PWTT;SBP;body positions;cardiovascular system;clinical monitoring;cuff sphygmomanometer;diastole blood pressure;diastole period;electrocardiography;graduate students;heart rate;left ventricular ejection time;pressure-adjustable pulse sensor;pulse contours;pulse wave transit time;pulse wave variability;radial pulse wave;standing position;supine position;systolic blood pressure;tidal wave valley;transitional positions","","0","","14","","","6-8 June 2012","","IEEE","IEEE Conference Publications"
"Analysis of entrainment in face-to-face interaction using heart rate variability","Watanabe, T.; Okubo, M.; Kuroda, T.","Fac. of Comput. Sci. & Syst. Eng., Okayama Prefectural Univ., Japan","Robot and Human Communication, 1996., 5th IEEE International Workshop on","20020806","1996","","","141","145","The entrainment between talkers in face-to-face interaction plays an important role in the smooth exchange of information. In this paper, the physiological signal entrainment in face-to-face interaction was analyzed on the basis of heart rate and its variability as indices, based on the previous known fact that alteration of cardiac rhythm has been used as an indicator of the emotional state. The subjects consisted of two pairs of mothers and healthy infants aged 5 and 9 months as a primitive form of communication, and one pair of male students. The existence of physiological signal entrainment was demonstrated from some examples of synchronized time changes of heart rate variability in both mother-infant interaction and adult conversation. This finding suggests the entrainment is biologically essential to human communication and it could be applicable for improved human-robot interaction","","0-7803-3253-9","","10.1109/ROMAN.1996.568786","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=568786","","Biological system modeling;Biomedical monitoring;Computer science;Face;Feedback;Heart rate variability;Humans;Robots;Signal analysis;Systems engineering and theory","biocommunications;biomedical measurement;electrocardiography","adult conversation;cardiac rhythm;emotional state;face-to-face interaction;heart rate variability;human-robot interaction;mother-infant interaction;physiological signal entrainment;smooth information exchange","","1","3","7","","","11-14 Nov 1996","11 Nov 1996-14 Nov 1996","IEEE","IEEE Conference Publications"
"Fractal behaviour of heart rate variability reflects abnormal respiration patterns in OSAS patients","D'Addio, G.; Accardo, A.; Fornasa, E.; Cesarelli, M.; De Felice, A.","S Maugeri Found., Telese Terme, Italy","Computing in Cardiology Conference (CinC), 2013","20140116","2013","","","445","448","Although heart rate variability (HRV) decreasing has been usually described in obstructive sleep apnea syndrome (OSAS), some studies have recently questioned the validity of spectral HRV analysis in presence of respiratory and arrhythmic disorders. Fractal analysis of HRV is an emerging nonlinear technique overcoming these limitations and allowing short term HRV assessment during hypo/apnea phases. The aim of this study is to analyse the Fractal features in sleep apnea in order to find as these characteristics could change during abnormal respiration patterns in OSAS. We studied 30 polysomnographic recordings of severe OSAS (AHI≥30) pts. (age 55±9) and 10 PR of normal subjects (age 46±4). Hypo/apnea phases and related beat-to-beat time series have been detected and classified by automated algorithms and manually verified by expert technicians. Fractal analysis was performed by the Higuchi algorithm (FD). Results showed that while FD does not significantly differ between Normals (1.61±0.09) and normal breath epochs in OSAS, it significantly (p<;0.005) tends to a less fractal structure from normal breath (1.60±0.15) to hypopneas (1.52±0.13), obstructive (1.50±0.12) and mixed apneas (1.48±0.11) epochs, with a significant Dunn's multiple comparisons post test only between normal breath vs. obstructive and mixed apneas.","2325-8861","978-1-4799-0884-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6713409","","Abstracts;Biomedical monitoring;Fractals;Heart rate variability;Lead;Monitoring;Niobium","bioelectric potentials;electrocardiography;fractals;medical disorders;medical signal detection;medical signal processing;neurophysiology;pattern classification;pneumodynamics;signal classification;sleep;statistical analysis;time series","Dunn multiple comparisons post test;Higuchi algorithm;OSAS patients;abnormal respiration patterns;arrhythmic disorders;beat-to-beat time series;fractal feature analysis;heart rate variability assessment;hypopneas;nonlinear technique;normal breath epochs;obstructive sleep apnea syndrome;polysomnographic recordings;respiratory disorders;spectral HRV analysis","","2","","20","","","22-25 Sept. 2013","","IEEE","IEEE Conference Publications"
